PrimaryKey,Sire,Dam,Sex,Color,Year,Country,Family,DP,DI,CD,Starts,Wins,Places,Shows,CareerEarnings,Owner,Breeder,StateBred,WinningsText,Details,URL,Horse Name,SubjectInfoText
snap+mare3,snap,marlborough+mare,M,,1760,GB,56,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/snap+mare3,SNAP MARE (GB),
south+ocean,new+providence,shining+sun,M,b,1967,CAN,4-j,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/south+ocean,SOUTH OCEAN (CAN),
spadille+mare3,wilkins+spadille,janus+mare10,M,,1768,USA,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/spadille+mare3,SPADILLE MARE (USA),
spectator,crab,partner+mare,H,b,1749,GB,1-a,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/spectator,SPECTATOR (GB),
squirt,bartlets+childers,sister+to+old+country+wench,H,ch,1732,GB,11,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/squirt,SQUIRT (GB),
storm+bird,northern+dancer,south+ocean,H,b,1978,CAN,4-j,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/storm+bird,STORM BIRD (CAN),
storm+cat,storm+bird,terlingua,H,dkb/br,1983,USA,8-c,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/storm+cat,STORM CAT (USA),
sun+is+up,sunday+silence,moon+is+up,M,dkb/br,1998,JPN,20,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sun+is+up,SUN IS UP (JPN),
sunday+silence,halo,wishing+well,H,blk,1986,USA,3-e,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sunday+silence,SUNDAY SILENCE (USA),
tartar,crofts+partner,meliora,H,ch,1743,GB,48,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/tartar,TARTAR (GB),
terlingua,secretariat,crimson+saint,M,ch,1976,USA,8-c,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/terlingua,TERLINGUA (USA),
the+ruby+mare,huttons+blacklegs,fox+cub+mare,M,,1738,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/the+ruby+mare,THE RUBY MARE (GB),
turf+mare,turf,sister+to+figurante,M,blk,1774,GB,1,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/turf+mare,TURF MARE (GB),
understanding,promised+land,pretty+ways,H,ch,1963,USA,1-g,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/understanding,UNDERSTANDING (USA),
virginia+cade+mare,virginia+cade,independence+mare,M,,1790,USA,31,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/virginia+cade+mare,VIRGINIA CADE MARE (USA),
wilkins+spadille,janus5,selima7,H,blk,1762,USA,21,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/wilkins+spadille,WILKINS SPADILLE (USA),
wishing+well,understanding,mountain+flower,M,b,1975,USA,3-e,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/wishing+well,WISHING WELL (USA),
wont+tell+you,crafty+admiral,scarlet+ribbon,M,b,1962,USA,23-b,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/wont+tell+you,WONT TELL YOU (USA),
woodman,mr+prospector,playmate,H,ch,1983,USA,1-x,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/woodman,WOODMAN (USA),
young+cartouch+mare2,young+cartouch,ebony,M,,1750,GB,5,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/young+cartouch+mare2,YOUNG CARTOUCH MARE (GB),
